"bowel","拉粑粑|便便|拉便便|臭臭|拉臭臭|拉屎"
"urinate","尿尿|撒尿|小便|喷水|洒水|尿床|嘘嘘"
"nursing","吃奶|喝奶|喝奶奶|喂奶|哺乳"
